umap_1	umap_2	cell_type	cell_type_broad	tissue	subtype
9.55452823638916	-3.0671799182891846	Tgd	T cells	pleural_effusion	SCLC-A
1.9329752922058105	0.13342878222465515	CD8+ Tmem	T cells	lung	SCLC-A
2.5502233505249023	1.8380959033966064	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
5.259740829467773	10.558929443359375	Neutrophil	Myeloid	lung	SCLC-A
2.6554312705993652	1.6630851030349731	CD8+ Tmem	T cells	pleural_effusion	SCLC-A
-12.939786911010742	1.1361685991287231	B cell	B cell	LN	SCLC-A
4.034625053405762	-5.471991539001465	CD8+ Tmem	T cells	LN	SCLC-A
-0.2461085468530655	0.8862377405166626	CD4+ Tconv	T cells	pleural_effusion	SCLC-N
-1.2800551652908325	9.429722785949707	Mono/Mφ	Myeloid	lung	SCLC-A
-1.9243760108947754	8.818157196044922	Mono/Mφ	Myeloid	liver	SCLC-N
-0.5345486402511597	-3.2991397380828857	CD4+ Tconv	T cells	lung	SCLC-A
8.352092742919922	-0.9246940612792969	NK	NK	LN	SCLC-A
-1.7871376276016235	-2.146087646484375	CD4+ Treg	T cells	adrenal_kidney	SCLC-A
1.9876240491867065	1.207963228225708	CD4+ Tconv	T cells	LN	SCLC-A
-6.228702068328857	-6.543430805206299	CD4+ Tconv	T cells	lung	SCLC-A
2.8978090286254883	0.14995239675045013	CD8+ Tmem	T cells	pleural_effusion	SCLC-A
-0.29239487648010254	-2.202249050140381	CD4+ Tconv	T cells	lung	SCLC-A
2.246131420135498	-1.0479298830032349	CD8+ Tmem	T cells	lung	SCLC-A
-7.583621978759766	-6.3459577560424805	CD8+ Tmem	T cells	lung	SCLC-A
1.9675828218460083	1.6996393203735352	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
8.28386116027832	-2.8421552181243896	Tgd	T cells	pleural_effusion	SCLC-A
2.693516969680786	1.9702839851379395	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-0.07768595963716507	0.8124554753303528	CD4+ Tconv	T cells	pleural_effusion	SCLC-N
2.767491102218628	-1.1602481603622437	CD8+ Tmem	T cells	lung	SCLC-A
-12.658485412597656	0.9373436570167542	B cell	B cell	LN	SCLC-A
1.7919448614120483	-0.05681101977825165	CD8+ Tmem	T cells	LN	SCLC-A
-1.0155965089797974	10.75342845916748	Mono/Mφ	Myeloid	lung	SCLC-A
-6.370476245880127	-6.713022232055664	CD8+ Tmem	T cells	lung	SCLC-A
2.8750722408294678	-2.067110776901245	CD4+ Treg	T cells	lung	SCLC-A
-5.690506935119629	-6.2038726806640625	CD4+ Tconv	T cells	lung	SCLC-A
2.7280349731445312	2.0834927558898926	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
2.1729679107666016	1.7447540760040283	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
1.0352879762649536	0.5835509300231934	CD8+ Tmem	T cells	axilla	SCLC-N
8.1462860107421875	-2.479573965072632	Tgd	T cells	pleural_effusion	SCLC-A
-6.475383281707764	-6.799309730529785	CD4+ Tconv	T cells	lung	SCLC-A
-11.20838737487793	1.32704496383667	B cell	B cell	lung	SCLC-A
-6.933734893798828	-5.809823989868164	CD4+ Tconv	T cells	lung	SCLC-A
1.9273141622543335	-0.9013403058052063	CD8+ Tmem	T cells	lung	SCLC-A
-0.5021294951438904	-3.7782764434814453	CD4+ Tconv	T cells	liver	SCLC-N
5.451547145843506	10.036181449890137	Neutrophil	Myeloid	liver	SCLC-A
4.854828357696533	9.996030807495117	Neutrophil	Myeloid	lung	SCLC-A
-2.708730936050415	9.73312759399414	cDC	Myeloid	pleural_effusion	SCLC-A
9.56251335144043	-2.7302298545837402	Tgd	T cells	pleural_effusion	SCLC-A
-12.375508308410645	0.7878985404968262	B cell	B cell	LN	SCLC-A
1.1132464408874512	-2.6794357299804688	CD4+ Tconv	T cells	lung	SCLC-A
1.1844407320022583	1.312048316001892	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
-0.8712627291679382	-4.5207414627075195	CD4+ Tconv	T cells	liver	SCLC-A
-6.368381500244141	-6.847403526306152	CD4+ Tconv	T cells	lung	SCLC-A
-12.895136833190918	1.1008236408233643	B cell	B cell	LN	SCLC-A
1.3697446584701538	-5.6626410484313965	CD8+ Tmem	T cells	liver	SCLC-A
1.7732224464416504	-4.74789571762085	CD8+ Tmem	T cells	liver	SCLC-N
-12.088240623474121	1.0094882249832153	B cell	B cell	lung	SCLC-A
