cell_type	gene	counts	avg	Freq	perc_expr
Neutrophil	CXCL10	403	-3.3037085876275527	403	1
CD8+ Teff	CXCL10	120	-3.321928024291992	120	1
B cell	CXCL10	353	-3.284208016084882	353	1
pDC	CXCL10	78	-3.234978898977622	78	1
CD4+ Treg	CXCL10	275	-3.229081734743985	275	1
CD8+ Texh	CXCL10	50	-3.321928024291992	50	1
Mast	CXCL10	20	-3.321928024291992	20	1
Plasma cell	CXCL10	9	-2.8232554064856634	9	1
Tgd	CXCL9	733	-3.321928024291992	733	1
CD8+ Tmem	CXCL9	1547	-3.3086528795799595	1547	1
cDC	CXCL9	31	-2.676431732793008	31	1
Mono/Mφ	CXCL9	396	-2.667129746591202	396	1
CD4+ Tconv	CXCL9	1876	-3.3155937944012663	1876	1
NK	CXCL9	247	-3.3030665403435586	247	1
Neutrophil	CXCL9	403	-3.321928024291992	403	1
CD8+ Teff	CXCL9	120	-3.321928024291992	120	1
B cell	CXCL9	353	-3.321928024291992	353	1
pDC	CXCL9	78	-3.321928024291992	78	1
CD4+ Treg	CXCL9	275	-3.287562237219377	275	1
CD8+ Texh	CXCL9	50	-3.321928024291992	50	1
Mast	CXCL9	20	-3.321928024291992	20	1
Plasma cell	CXCL9	9	-3.321928024291992	9	1
Tgd	EDNRB	733	-3.321928024291992	733	1
CD8+ Tmem	EDNRB	1547	-3.321928024291992	1547	1
cDC	EDNRB	31	-3.152929106066304	31	1
Mono/Mφ	EDNRB	396	-3.2770966514192446	396	1
CD4+ Tconv	EDNRB	1876	-3.321928024291992	1876	1
NK	EDNRB	247	-3.321928024291992	247	1
Neutrophil	EDNRB	403	-3.321928024291992	403	1
CD8+ Teff	EDNRB	120	-3.321928024291992	120	1
B cell	EDNRB	353	-3.321928024291992	353	1
pDC	EDNRB	78	-3.321928024291992	78	1
CD4+ Treg	EDNRB	275	-3.321928024291992	275	1
CD8+ Texh	EDNRB	50	-3.321928024291992	50	1
Mast	EDNRB	20	-3.321928024291992	20	1
Plasma cell	EDNRB	9	-3.321928024291992	9	1
Tgd	ENTPD1	733	-3.067769696247366	733	1
CD8+ Tmem	ENTPD1	1547	-2.7242833099291257	1547	1
cDC	ENTPD1	31	-1.756119131080566	31	1
Mono/Mφ	ENTPD1	396	-2.5422722442884638	396	1
CD4+ Tconv	ENTPD1	1876	-3.059491890262185	1876	1
NK	ENTPD1	247	-2.6833820946303457	247	1
Neutrophil	ENTPD1	403	-2.6582853942000244	403	1
CD8+ Teff	ENTPD1	120	-2.7888049632310867	120	1
B cell	ENTPD1	353	-2.732927309217264	353	1
pDC	ENTPD1	78	-3.268567066926223	78	1
CD4+ Treg	ENTPD1	275	-2.4464921485293996	275	1
CD8+ Texh	ENTPD1	50	-2.2916734504699705	50	1
Mast	ENTPD1	20	-3.321928024291992	20	1
Plasma cell	ENTPD1	9	-2.8661145038074918	9	1
Tgd	GZMA	733	3.792640268558695	733	1
CD8+ Tmem	GZMA	1547	1.743500864498062	1547	1
cDC	GZMA	31	-2.298069425167576	31	1
Mono/Mφ	GZMA	396	-3.1081984714426176	396	1
CD4+ Tconv	GZMA	1876	-1.3548384112145093	1876	1
